Store,Retailer,Location,Area,Date ,Year,Month,Day,Product,Skew Type,Description,Quantity ,Price,Total
Binny's Willowbrook,Binny's,Willowbrook,0,08/11/2021,2021,8,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,08/25/2021,2021,8,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,1,$3.49,3.49
Binny's Willowbrook,Binny's,Willowbrook,0,08/25/2021,2021,8,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,08/25/2021,2021,8,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,4,$8.39,33.56
Binny's Willowbrook,Binny's,Willowbrook,0,08/25/2021,2021,8,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,3,$12.59,37.77
Binny's Willowbrook,Binny's,Willowbrook,0,09/15/2021,2021,9,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,7,$3.49,24.43
Binny's Willowbrook,Binny's,Willowbrook,0,09/15/2021,2021,9,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,09/15/2021,2021,9,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,8,$8.39,67.12
Binny's Willowbrook,Binny's,Willowbrook,0,09/15/2021,2021,9,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,10/20/2021,2021,10,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,10/20/2021,2021,10,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,8,$4.89,39.12
Binny's Willowbrook,Binny's,Willowbrook,0,10/20/2021,2021,10,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,10/20/2021,2021,10,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,12/01/2021,2021,12,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,12/01/2021,2021,12,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,12/01/2021,2021,12,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,12/01/2021,2021,12,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,12/15/2021,2021,12,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,5,$3.49,17.45
Binny's Willowbrook,Binny's,Willowbrook,0,12/15/2021,2021,12,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,9,$4.89,44.01
Binny's Willowbrook,Binny's,Willowbrook,0,12/15/2021,2021,12,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,0,$8.39,0
Binny's Willowbrook,Binny's,Willowbrook,0,12/15/2021,2021,12,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,7,$12.59,88.13
Binny's Willowbrook,Binny's,Willowbrook,0,12/29/2021,2021,12,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,12/29/2021,2021,12,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,12/29/2021,2021,12,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,12/29/2021,2021,12,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,01/26/2022,2022,1,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,01/26/2022,2022,1,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,01/26/2022,2022,1,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,01/26/2022,2022,1,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,02/22/2022,2022,2,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,1,$3.49,3.49
Binny's Willowbrook,Binny's,Willowbrook,0,02/22/2022,2022,2,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,02/22/2022,2022,2,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,6,$8.39,50.34
Binny's Willowbrook,Binny's,Willowbrook,0,02/22/2022,2022,2,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,4,$12.59,50.36
Binny's Willowbrook,Binny's,Willowbrook,0,04/06/2022,2022,4,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,2,$3.49,6.98
Binny's Willowbrook,Binny's,Willowbrook,0,04/06/2022,2022,4,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,11,$4.89,53.79
Binny's Willowbrook,Binny's,Willowbrook,0,04/06/2022,2022,4,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,04/06/2022,2022,4,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,6,$12.59,75.54
Binny's Willowbrook,Binny's,Willowbrook,0,04/20/2022,2022,4,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,1,$3.49,3.49
Binny's Willowbrook,Binny's,Willowbrook,0,04/20/2022,2022,4,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,6,$4.89,29.34
Binny's Willowbrook,Binny's,Willowbrook,0,04/20/2022,2022,4,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,7,$8.39,58.73
Binny's Willowbrook,Binny's,Willowbrook,0,04/20/2022,2022,4,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,05/18/2022,2022,5,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,2,$3.49,6.98
Binny's Willowbrook,Binny's,Willowbrook,0,05/18/2022,2022,5,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,4,$4.89,19.56
Binny's Willowbrook,Binny's,Willowbrook,0,05/18/2022,2022,5,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,05/18/2022,2022,5,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,06/08/2022,2022,6,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,8,$3.49,27.92
Binny's Willowbrook,Binny's,Willowbrook,0,06/08/2022,2022,6,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,06/08/2022,2022,6,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,06/08/2022,2022,6,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,07/02/2022,2022,7,7,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,8,$3.49,27.92
Binny's Willowbrook,Binny's,Willowbrook,0,07/02/2022,2022,7,7,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,8,$4.89,39.12
Binny's Willowbrook,Binny's,Willowbrook,0,07/02/2022,2022,7,7,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,6,$8.39,50.34
Binny's Willowbrook,Binny's,Willowbrook,0,07/02/2022,2022,7,7,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,5,$12.59,62.95
Binny's Willowbrook,Binny's,Willowbrook,0,08/03/2022,2022,8,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,8,$3.49,27.92
Binny's Willowbrook,Binny's,Willowbrook,0,08/03/2022,2022,8,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,8,$4.89,39.12
Binny's Willowbrook,Binny's,Willowbrook,0,08/03/2022,2022,8,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,5,$8.39,41.95
Binny's Willowbrook,Binny's,Willowbrook,0,08/03/2022,2022,8,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,6,$12.59,75.54
Binny's Willowbrook,Binny's,Willowbrook,0,08/22/2022,2022,8,2,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,8,$3.49,27.92
Binny's Willowbrook,Binny's,Willowbrook,0,08/22/2022,2022,8,2,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,11,$4.89,53.79
Binny's Willowbrook,Binny's,Willowbrook,0,08/22/2022,2022,8,2,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,08/22/2022,2022,8,2,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,09/20/2022,2022,9,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,10,$3.49,34.9
Binny's Willowbrook,Binny's,Willowbrook,0,09/20/2022,2022,9,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,10,$4.89,48.9
Binny's Willowbrook,Binny's,Willowbrook,0,09/20/2022,2022,9,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,7,$8.39,58.73
Binny's Willowbrook,Binny's,Willowbrook,0,09/20/2022,2022,9,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,10/11/2022,2022,10,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,10,$3.49,34.9
Binny's Willowbrook,Binny's,Willowbrook,0,10/11/2022,2022,10,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,0,$4.89,0
Binny's Willowbrook,Binny's,Willowbrook,0,10/11/2022,2022,10,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,10,$8.39,83.9
Binny's Willowbrook,Binny's,Willowbrook,0,10/11/2022,2022,10,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,11/01/2022,2022,11,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,5,$3.49,17.45
Binny's Willowbrook,Binny's,Willowbrook,0,11/01/2022,2022,11,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,11/01/2022,2022,11,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,7,$8.39,58.73
Binny's Willowbrook,Binny's,Willowbrook,0,11/01/2022,2022,11,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,11/22/2022,2022,11,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,5,$3.49,17.45
Binny's Willowbrook,Binny's,Willowbrook,0,11/22/2022,2022,11,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,2,$4.89,9.78
Binny's Willowbrook,Binny's,Willowbrook,0,11/22/2022,2022,11,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,7,$8.39,58.73
Binny's Willowbrook,Binny's,Willowbrook,0,11/22/2022,2022,11,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,11/29/2022,2022,11,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,11/29/2022,2022,11,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,11/29/2022,2022,11,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,11/29/2022,2022,11,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,8,$12.59,100.72
Binny's Willowbrook,Binny's,Willowbrook,0,12/27/2022,2022,12,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,12/27/2022,2022,12,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,12/27/2022,2022,12,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,8,$8.39,67.12
Binny's Willowbrook,Binny's,Willowbrook,0,12/27/2022,2022,12,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,7,$12.59,88.13
Binny's Willowbrook,Binny's,Willowbrook,0,01/10/2023,2023,1,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,4,$3.49,13.96
Binny's Willowbrook,Binny's,Willowbrook,0,01/10/2023,2023,1,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,4,$4.89,19.56
Binny's Willowbrook,Binny's,Willowbrook,0,01/10/2023,2023,1,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,0,$8.39,0
Binny's Willowbrook,Binny's,Willowbrook,0,01/10/2023,2023,1,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,10,$12.59,125.9
Binny's Willowbrook,Binny's,Willowbrook,0,01/24/2023,2023,1,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,12,$3.49,41.88
Binny's Willowbrook,Binny's,Willowbrook,0,01/24/2023,2023,1,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,12,$4.89,58.68
Binny's Willowbrook,Binny's,Willowbrook,0,01/24/2023,2023,1,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,9,$8.39,75.51
Binny's Willowbrook,Binny's,Willowbrook,0,01/24/2023,2023,1,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,5,$12.59,62.95
Binny's Willowbrook,Binny's,Willowbrook,0,02/14/2023,2023,2,3,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,18,$3.49,62.82
Binny's Willowbrook,Binny's,Willowbrook,0,02/14/2023,2023,2,3,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,11,$4.89,53.79
Binny's Willowbrook,Binny's,Willowbrook,0,02/14/2023,2023,2,3,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,18,$8.39,151.02
Binny's Willowbrook,Binny's,Willowbrook,0,02/14/2023,2023,2,3,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,12,$12.59,151.08
Binny's Willowbrook,Binny's,Willowbrook,0,02/14/2023,2023,2,3,"1 - Retail:Quari Cocktail Cubes, 3.5 lb bag",Quari Cocktail Cubes,--,34,$2.79,94.86
Binny's Willowbrook,Binny's,Willowbrook,0,03/22/2023,2023,3,4,"1 - Retail:The Quari Trial Pack - 1.8"" Cubes",Quari Trial Pack Cubes,--,13,$3.49,45.37
Binny's Willowbrook,Binny's,Willowbrook,0,03/22/2023,2023,3,4,"1 - Retail:The Quari Trial Pack - 2.5"" Spheres",Quari Trial Pack Spheres,--,14,$4.89,68.46
Binny's Willowbrook,Binny's,Willowbrook,0,03/22/2023,2023,3,4,"1 - Retail:The Quari Value Pack - 1.8"" Cubes",Quari Value Pack Cubes,--,14,$8.39,117.46
Binny's Willowbrook,Binny's,Willowbrook,0,03/22/2023,2023,3,4,"1 - Retail:The Quari Value Pack - 2.5"" Spheres",Quari Value Pack Spheres,--,13,$12.59,163.67
Binny's Willowbrook,Binny's,Willowbrook,0,03/22/2023,2023,3,4,"1 - Retail:Quari Cocktail Cubes, 3.5 lb bag",Quari Cocktail Cubes,--,40,$2.79,111.6
